tag,dataset,epoch,loss_mean,loss_std,loss_n,grad_norm_mean,grad_norm_std,grad_norm_n,cos_sim_ref_mean,cos_sim_ref_std,cos_sim_ref_n,cos_sim_global_mean,cos_sim_global_std,cos_sim_global_n,update_contrib_mean,update_contrib_std,update_contrib_n,tokens_mean,tokens_std,tokens_n
dolly-ratio10,cleaning_loop_targeted_template_signed,1,1.3355023893012095,0.7920746833799498,13150,4.1127570288631174,3.6729412135560424,13150,-0.0007848411444297976,0.0060781321976971,13150,0.0036405673269977144,0.026206774393121662,12328,0.19484813780647778,0.17621693392050367,13150,80.44897338403042,110.88796161219332,13150
dolly-ratio10,cleaning_loop_targeted_template_signed,2,1.0260145670801823,0.7601964383327607,13150,4.911939922672733,4.644105803310752,13150,-0.00029896467787380443,0.004039586179170434,13150,0.0029766388610210784,0.020620595127596213,12328,0.20651797787824264,0.1949277937860197,13150,80.44897338403042,110.88796161219332,13150
dolly-ratio10,cleaning_loop_targeted_template_signed,3,0.7738514404760598,0.7208790525979465,13150,4.891343272592688,4.190941422783801,13150,-0.0003997690915725904,0.003852872115523313,13150,0.0020849703633175295,0.015232376465059585,12328,0.19084382192717128,0.16312750671460377,13150,80.44897338403042,110.88796161219332,13150
dolly-ratio10,cleaning_loop_targeted_template_signed,4,0.6246142373846307,0.6951692916983785,13150,4.318851028606517,4.317763484648732,13150,-0.00020858127344310556,0.003226672432501938,13150,0.003299578244598158,0.014737226144059881,12328,0.16800121779083838,0.16988550762657673,13150,80.44897338403042,110.88796161219332,13150
dolly-ratio10,duplicate,0,1.585969825622667,0.8864104300341308,16072,3.861017953550859,5.353846627842906,16072,0.0025593982151561855,0.049005423794506404,16072,0.011027510487555472,0.05055257965048481,15067,0.20058051729313642,0.43376503553548656,16072,80.34550771528123,108.8142322546307,16072
dolly-ratio10,duplicate,1,1.2752066740932275,0.808434929926418,16072,4.245562763642525,4.843231167756359,16072,-0.0007181021547346266,0.005298944298361263,16072,0.003697196495053169,0.02324703433070882,15067,0.18120555745696806,0.21537684875944005,16072,80.34550771528123,108.8142322546307,16072
dolly-ratio10,duplicate,2,0.9440976748136818,0.7647322675156981,16072,4.796051934124684,4.009681167925598,16072,-0.0006038140819387852,0.004095225486935877,16072,0.00222248661111569,0.016847211637120853,15067,0.18849167492568344,0.15749290262109822,16072,80.34550771528123,108.8142322546307,16072
dolly-ratio10,duplicate,3,0.6799806348353908,0.7081507890427157,16072,4.645609383292484,4.213303824809676,16072,-0.0008396813822341108,0.003955351029195532,16072,0.001905215068528586,0.013184314990648099,15067,0.18274880230370427,0.1657426672202967,16072,80.34550771528123,108.8142322546307,16072
dolly-ratio10,duplicate,4,0.5304789647407254,0.6619677758627476,16072,3.9476143566252992,3.4362696429864665,16072,-0.0007644819926981086,0.0034858369425244833,16072,0.0034835065898482743,0.01584978934133212,15067,0.16603128818059368,0.1436745835669815,16072,80.34550771528123,108.8142322546307,16072
dolly-ratio10,garbled,0,1.9116519143324113,1.2750852102063808,14611,4.259135744483855,5.06902129267171,14611,0.002635725330078038,0.048629703755610515,14611,0.011394891057152565,0.04987083878481973,13697,0.22963020789671437,0.4425564866402218,14611,88.17336253507631,121.4443101043492,14611
dolly-ratio10,garbled,1,1.5864554982607657,1.138043258315601,14611,4.332773298726646,3.911234344742163,14611,-0.0006515085529174711,0.0054072321387584185,14611,0.003600176654917292,0.02312246879183351,13697,0.19571718626184537,0.17619922543737102,14611,88.17336253507631,121.4443101043492,14611
dolly-ratio10,garbled,2,1.2534398546146135,1.0827265693439299,14611,5.092144327386374,4.52778104835248,14611,-0.0004307365150634473,0.004212728338183139,14611,0.0026467016571405503,0.018296756040882274,13697,0.20555918534639667,0.182078039580438,14611,88.17336253507631,121.4443101043492,14611
dolly-ratio10,garbled,3,0.975149050946277,1.0299822670151497,14611,5.198657638732567,4.7227537307211955,14611,-0.0005197195382933197,0.004041732526117065,14611,0.0017093863589793497,0.014917367780649561,13697,0.19149457674152873,0.17550705967195782,14611,88.17336253507631,121.4443101043492,14611
dolly-ratio10,garbled,4,0.8078851009455401,0.993952444287601,14611,4.6344160957075395,3.660782574833267,14611,-0.0002986379486615098,0.0034134935742778255,14611,0.0025280813467044648,0.01358667812581672,13697,0.17892780223451293,0.1411507459400067,14611,88.17336253507631,121.4443101043492,14611
dolly-ratio10,keyword,0,1.6707173714464323,0.9243522365517496,14611,3.9812323421763933,5.270367432560083,14611,0.002575237987647787,0.050226617149427784,14611,0.011349773177593031,0.051313741086884856,13697,0.2100159360027727,0.4460696636402166,14611,80.58476490315516,109.68478317934398,14611
dolly-ratio10,keyword,1,1.368456381125141,0.8139536947308107,14611,4.140885102599188,3.6532789615058388,14611,-0.0007583578704668584,0.005469629200146133,14611,0.0032937424841899933,0.024556890578841,13697,0.19058619043439004,0.16991187783965364,14611,80.58476490315516,109.68478317934398,14611
dolly-ratio10,keyword,2,1.0539119710819946,0.7740520786617345,14611,4.877370765414256,4.082136027127394,14611,-0.0004405704505833937,0.003955395175940917,14611,0.002534797911032836,0.01953729519595842,13697,0.2075764040610429,0.17410256719038325,14611,80.58476490315516,109.68478317934398,14611
dolly-ratio10,keyword,3,0.7915274885916657,0.7295381071416462,14611,4.95352383316459,4.128167277128562,14611,-0.0005376325681189302,0.003867536974462907,14611,0.0018129375564109747,0.015959576799179177,13697,0.1982374588956248,0.165866745907666,14611,80.58476490315516,109.68478317934398,14611
