max_epoch,dataset,scorer,n,n_noise,auc,p_at_10,random_p
4,keyword,low_loss_only,14611,1461,0.37582290373539656,0.06023271731690623,0.0999931558414893
4,mixed,memo_signed,14819,1400,0.37974843771624456,0.1282051282051282,0.0944733112895607
4,mixed,low_loss_only,14819,1400,0.4214673224532379,0.1126855600539811,0.0944733112895607
4,near_duplicate,memo_signed,14611,1461,0.3459112592812361,0.06570841889117043,0.0999931558414893
4,near_duplicate,low_loss_only,14611,1461,0.3820064386338853,0.07118412046543464,0.0999931558414893
4,template,memo_signed,14611,1461,0.9248183050829811,0.5311430527036276,0.0999931558414893
4,template,low_loss_only,14611,1461,0.9346640537368279,0.5160848733744011,0.0999931558414893
4,truncation,memo_signed,14611,1461,0.352481528616006,0.007529089664613279,0.0999931558414893
4,truncation,low_loss_only,14611,1461,0.45485861811405803,0.00889801505817933,0.0999931558414893
4,unrelated,memo_signed,14611,1461,0.27377867651460147,0.002053388090349076,0.0999931558414893
4,unrelated,low_loss_only,14611,1461,0.34885408452463673,0.0013689253935660506,0.0999931558414893
